chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL8301,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,JQJRESSXOVAECC-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL7699,O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,RQYVHBZWMYJJAJ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8005,C=C1CC(C)(c2ccccc2)OC1=O,JHUHFCGGZYVSLQ-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL8006,C=C1CC(C)(CC(C)(C)C)OC1=O,ZPSNUBGAVYBBSC-UHFFFAOYSA-N,8,9;3;1;1;1;1;1;1
CHEMBL8037,CCc1cccc(Oc2cnc(O)nc2)c1,XFORPDNDLRAYSA-UHFFFAOYSA-N,8,3;2;1;1;1;1;1;1
CHEMBL8307,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C=O)[C@H]2SC1.[Na+],KORBBXIOHGOALU-LESAWYNJSA-M,8,3;1;1;1;1;1;1;1
CHEMBL7752,COC(OC)C1(C)NC(=O)c2ccccc2N1,JEAGXAUBNMIHLO-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL4553621,N#CCOc1cccc(CN)c1,FUULSSNQYAQVTR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8352,COc1cc(CC(C)N)c(OC)cc1O,XZYTWVYCADLTTI-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8066,CC12C(=O)OC(=O)C1(C)C1CCC2O1,DHZBEENLJMYSHQ-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL8584,COc1cc(C(=O)O)c(OC)cc1CC(C)N,FRWTXPXOPHGXDE-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8336,COc1cc(CC(C)N)c(OC)cc1C#N,ULNMEZQBQBLXMC-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8182,CC1(C(=O)O)C2CCC(O2)C1C(=O)O,XIUCRMDWTGSKBJ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL8028,COc1cc(CC(C)N)c(OC)cc1N,YUGDRVMIVMZKEL-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8100,COc1cc(CC(C)N)c(OC)cc1Cl,ACRITBNCBMTINK-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8185,C=C(CC(N)C(=O)O)CC(N)C(=O)O,XHOSYVGVHNEHGK-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8272,C#CC1Cc2ccccc2C(N)=N1,SGASAPRGFSSJCC-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8343,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(C)(C)C)[C@H]2SC1.[Na+],FIAIPWZZWBPKMV-HTOGEZAYSA-M,8,9;3;1;1;1;1;1;1
CHEMBL4553167,Cc1nc2ccc(NC(=O)C3=NNC(=O)CC3)cc2s1,ARZLWZVNSYAJIC-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL8275,Nc1ncnc2c1ncn2C1CC(O)C(O)C1O,VFKHECGAEJNAMV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8080,O=C(O)C1C2CCC(O2)C1C(=O)O,GXEKYRXVRROBEV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8327,O=C1OC(=O)C2C3CCC(O3)C12,JAABVEXCGCXWRR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8470,C=C1CC(C)(CC)OC1=O,AROUKPGXPMZJED-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL8472,C=C1CC(CC)OC1=O,FXWWAVREXBDOSP-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL8541,Cc1nc(N(C)C(=O)c2ccc(C(=N)N)cc2)sc1CCC(=O)O,XLDVJVWIKCPJPM-UHFFFAOYSA-N,8,3;3;2;2;1;1;1;1
